state,town,latitude,longitude,total_fatalities
Borno state,Ladin Buta near Khaddamari village of Jere Local Government Area,11.92589,13.23062,13
Borno state,"at Madayi, Arge and Arijallamari in Abadam Local Government Area  ///  Arge (Arege)",13.48895,13.32904,13
Borno state,"at Madayi, Arge and Arijallamari in Abadam Local Government Area  ///  Arijallamari",13.452662,13.490481,13
Borno state,at Duguri Island in the extreme Northern Borno,13.27368,13.803,13
Borno state,"at Bula Bello near Sambisa Forest + at Gashigar in Borno, Tumbun Rego on the fringes of Lake Chad",11.373373,13.691767,13
Borno state,"at Tumbum Kanta and Mangari, close to Baga in Kukawa local government Area of Borno State",13.09466,13.82343,13
Borno state,"Alau Dam, on the outskirts of Maiduguri",11.724167,13.284722,13
Adamawa state,"Madagali town, Madagali Local Government Area of Adamawa",10.88942,13.62832,13
Benue state,Gbajimba town,7.8155,8.8604,13
Borno state,Tumbun Rego on the fringes of Lake Chad + at Gashigar in Borno and at Bula Bello near Sambisa Forest,13.4814,13.483791,13
Borno state,"T-Junction village, Bama LGA, Borno state",11.448477,13.759141,13
Delta state,Uwheru town,5.33141,6.05926,13
Edo state,Benin city and around,6.335045,5.627492,13
Kaduna state,"Fadan-Karshi village, Sanga LGA",9.376254,8.586333,13
Kaduna state,in Sabon Kaura village; in Zango Kataf Local Government Area of Kaduna State,10.044564,8.012767,13
Oyo state,Ibadan town,7.387778,3.896389,13
Plateau state,"Birkin Ladi LGA (Katu Kapang village), Plateau state",9.54969,8.9344,13
Plateau state,"Byie village, Riyom LGA",9.56796,8.68476,13
Plateau state,Jol village of Riyom Local Government Area of Palteau state,9.55,8.8,13
Lagos state,Lagos city (Yaba area),6.453056,3.395833,13
Taraba state,"Wukari town, Adamawa state",7.85,9.783333,13
Yobe state,Potiskum towm (Dogo Tebo area and Anguwar Bolawa area),11.7091,11.0694,13
Yobe state,Kanamma village,13.09969,12.1079,13
Yobe state,in the Bayamari area of the state; in Yobe State,12.769654,11.510028,13
Yobe state,"in Gazagana village, 30 kilometres (18 miles) from Yobe state capital Damaturu  was headed for a military base at Buni Yadi, another 20 kilometres from Damaturu  ///  on the highway",11.498089,11.934311,13
Plateau state,"Zokupang village, Foron district, Barkin Ladi LGA",9.670184,9.00465,13
Rivers state,Ibaa community,4.96768,6.81565,12
Taraba state,"at Ijever, near Sabon-Gida village in Gassol Local Council",8.47269,10.5442,12
Taraba state,Coromo village,8.47269,10.5442,12
Taraba state,Dan Anacha town,8.23331,10.39236,12
Rivers state,Tombia village,4.788666,6.894286,12
Lagos state,Lekki Toll Gate and Alausa; Lagos,6.453056,3.395833,12
Lagos state,"Mile 12 market, Lagos state",6.608319,3.393763,12
Nasarawa state,Akura village,8.578333,8.668333,12
Osun state,Osun State,7.5,4.5,12
Plateau state,"between the Irigwe people of Miango and the Fulani of Bassa Local Government Area in Plateau State  ///  at Duste, Miango village in Bassa Local Government Area",9.85,8.683333,12
Oyo state,at Okere near Iseyin in Iseyin local government area of the state,7.976911,3.593346,12
Plateau state,Abonong Village in Foron District of Barkin Ladi Local Council of Plateau State,9.54969,8.9344,12
Plateau state,Barkin Ladi LGA (Bere Reti Fan),9.54969,8.9344,12
Plateau state,Barkin Ladi (near),9.53333,8.9,12
Plateau state,at Tambora in Riyom LGA,9.56796,8.68476,12
Plateau state,Jos town (Nassarawa Gwom district),9.916667,8.9,12
Imo state,"Orlu police station in neighbouring Imo state  ///  Orlu town; a police command in Orlu Local Government Area, Imo State, Southeast Nigeria",5.797661,7.036648,12
Kaduna state,"Zangang village (Atakar Chiefdom), Kaura LGA, Kaduna state",9.61667,8.53333,12
Delta state,Warri town (area),5.5167,5.75,12
Borno state,"WUMYEDUGA Village, DAMBOA LGA",11.09826,12.76417,12
Delta state,Delta State (Warri River),5.5,6,12
Borno state,"Tongule, Borno State",12.230436,14.180893,12
Borno state,Tashan Alade village,10.4884,12.4197,12
Borno state,Takulashi village,10.794037,12.723723,12
Borno state,"Tamsu-Shehuri village, near Chibok",10.86583,12.84702,12
Borno state,Samisa forest,11.25,13.416667,12
Borno state,"Sandiya village, Damboa LGA, Borno state",11.09826,12.76417,12
Borno state,Mashalari village (near Konduga),11.65583,13.42133,12
Borno state,"Ngom village (a border village between Mafa and Konduga), Mafa LGA, Borno state",11.8826,13.3434,12
Benue state,"Tom Anyiin and Tom Ataan communities in Mbaya Tombu village, Bukuru LGA",7.47121,9.19473,12
Adamawa state,Pelia (Pella),10.1525,12.93849,12
Akwa Ibom state,Oku Iboku paper mill,5.158969,8.055838,12
Adamawa state,"Ajiya Wagga town, Madagali LGA",10.85219,13.54889,12
Borno state,Alau Community,11.724167,13.284722,12
Borno state,Alagarno village in Damboa district,11.19507,13.06153,12
Borno state,"Akida village, 25 kilometres from Maiduguri",11.84644,13.160274,12
Borno state,"a military position in Mainok village, 56 kilometres (35 miles) from Maiduguri",11.83022,12.63067,12
Benue state,"Tse Tume and Agaraga villages, Logo LGA",7.68922,9.25049,12
Borno state,"Bdagu and Hartsa villages, Borno state",11.5,13,12
Borno state,"Ladi-Shehuri village, near Chibok",10.86583,12.84702,12
Borno state,"Maiduguri town (Abujantalakawa, Zannari, Gindari Polo neighborhoods)",11.84644,13.160274,12
Borno state,Maiduguri town (Budun area),11.84644,13.160274,12
Borno state,"Kalle (outside ), a remote village 17 kilometres outside the state capital Maiduguri, near Molai village, Borno state",11.755521,13.106469,12
Borno state,Gumsiri (near),11.05476,12.80919,12
Borno state,Hambagda village,11.03609,13.71627,12
Borno state,Damasak village,13.09771,12.4952,12
Borno state,Chibok,10.86583,12.84702,12
Borno state,"DUGURI Island, KUKUWA LGA",13.27368,13.803,12
Borno state,"Debiro, Tashan Alade and Tirgitu vilages; in the Hawul Local Government Area of Borno state  ///  in Shaffa town  ///  Shafa, Azare and Tashan Alade in Borno state  ///  Tashan Alade, Shafa, Azare, Sabon-Kasuwa and Debro",10.4331,12.24682,12
Borno state,Dille village (outside),10.74025,13.21742,11
Borno state,"Faljari village, 45 kilometres east of Maiduguri (along the Dikwa-Maiduguri Road)",11.925833,13.605556,11
Borno state,Gwoza (hills outside),11.103593,13.712982,11
Borno state,Gomaran village of Southern Lake Chad Basin,12.989201,13.832239,11
Borno state,Garubula village,10.77751,12.01893,11
Borno state,"in Kawuri community of Borno State, Northeast Nigeria",11.572354,13.536488,11
Borno state,in Komala,11.489108,12.964974,11
Borno state,Kayamula village of Konduga local government area of Borno State,11.691757,13.222078,11
Borno state,Kuburvwa village,10.83642,12.7705,11
Borno state,Kuburvwa village (between Chibok and Damboa towns),10.987943,12.787677,11
Borno state,Kafa town  ///  Kafa Village in Damboa Local Government Area,11.3153,12.4742,11
Borno state,"in Wajirko village, 150 kilometres (93 miles) outside Borno state capital Maiduguri",10.931916,12.524372,11
Borno state,into Damboa area in Nigeria?? northeastern  State of Borno  ///  in Damboa Local Government Area of Borno State; "trying to take over the town",11.15604,12.75758,11
Borno state,in the Gwoza Local Government Area of Borno State,11.103593,13.712983,11
Borno state,"Maiduguri town (Nganaram, Bulabulin and Bayan Quarters areas)",11.84644,13.160274,11
Borno state,"Bama-Banki road, Borno state",11.383731,13.864889,11
Borno state,"a military convoy, 35 kilometres (22 miles) west of the town of Monguno, heading to the regional capital Maiduguri /// at Gasarwa village, along Gajiram-Monguno road in Nganzai Local Government Area of Borno",12.618096,13.332251,11
Borno state,along Benisheikh and Ngamdu  ///  in Tasmukawu,11.775579,12.346455,11
Adamawa state,"Dar village (Darin Madagali), near Shuwa",10.74658,13.41601,11
Adamawa state,Gaanda district,10.18948,12.52765,11
Adamawa state,Kwapre village in northern Adamawa  ///  Kwapre village in Dugwaba District of Hong Local Government Area,10.466497,12.844669,11
Adamawa state,"Lawaru, Dong (Demsa) and Kiken (Numan)  Lawaru, Dong, Kodomti, Shafaron and Nzuruwei",9.40562,11.93422,11
Adamawa state,Hong town,10.2317,12.93042,11
Benue state,Nzaav and Alaba in Yaav council ward,6.80099,9.47021,11
Benue state,"Communities Tse-Abi, Tse-Peviv and Gbenke, in Saghev Ward of Guma Local Gvernment Area, Benue State",7.96667,8.76667,11
Borno state,on a road connecting Marte and Dikwa towns in Borno state  ///  at about 7km from Dikwa,12.03609,13.91815,11
Borno state,Marguba village,11.69475,12.58074,11
Borno state,"MUSSA, ASKIRA UBA LGA",10.73798,13.13072,11
Borno state,Pemi; village is located only 20 kilometres (12 miles) from Chibok,10.776376,12.949428,11
Borno state,the informal market at the base of 333 Artillery Nigerian Army in Maiduguri,11.84644,13.160274,11
Borno state,"Shettima Aboh, Hong and Biladdili general area in Damboa Local Government Area",11.02535,12.260254,11
Borno state,Shani town,10.21617,12.06198,11
Borno state,troops of Army Super Camp Magumeri,12.1131,12.8274,11
Delta state,Effurun town,5.554632,5.786239,11
Borno state,"YALE (8km from BAMA and 12km SW of DIKWA), BAMA LGA",11.5221,13.68558,11
Borno state,"Wulge, Borno state",12.483371,14.183386,11
Borno state,villages surrounding Beneshiekh,11.8072,12.4909,11
Edo state,Benin city (Ogida and Useh quarters),6.335045,5.627492,11
Edo state,Ekpoma town,6.742063,6.139003,11
Edo state,"in Benin City, Edo state",6.335045,5.627492,11
Edo state,in different parts of Benin City,6.335045,5.627492,11
Enugu state,Enugu town,6.4402,7.4943,11
Kaduna state,Sanga town,11.002444,8.002862,11
Katsina state,"Dutsin Karare; [near] Wurma market; [near] Kurfi and Batsari LGA  ///  in Wurma village, Katsina state",12.577308,7.434082,11
Imo state,"in Awomama Village, Oru East LGA of Imo State",5.65842,6.93117,11
Kaduna state,"at Gindin Gada, Maro Ward of Kajuru Local Government in Kaduna State  Ungwar Bardi in Maro, Kajuru Local Government  UNGUWAR MARU Village, KAJURU LGA, KADUNA State",10.166933,7.764394,11
Kaduna state,"Apiye Jim village, in Atyap Chiefdom, Zangon Kataf Local Government Area of Kaduna state",9.841,8.25491,11
Kaduna state,Gada Biyu village (5 km frmo Golkofa),9.41031,8.36137,11
Kaduna state,"in Anguwan Aku village, Kajuru Local government area of Kaduna state  ///  in Banono and Anguwan Aku in Kajuru Local government area of the state",10.27704,7.85784,11
Kaduna state,"Kaduna town (Kabala Costa, in)",10.52224,7.43828,11
Plateau state,"in Lopandet Dwei Du area of Jos South local government area of Plateau State  Lopandet, Dwei, in Du",9.75,8.88333,11
Plateau state,Plateau state,9.166667,9.75,11
Niger state,Niger state,10,6,11
Nasarawa state,"in Ajimaka, a Tiv settlement in Doma Local Government Area of Nasarawa State",8.20323,8.30466,11
Sokoto state,at Mamande village in Gwadabawa local government of Sokoto State,13.458497,5.444053,11
Rivers state,"Omoku town, Ogba/Egbema/Ndoni Local Government Area",5.3435,6.65321,11
Rivers state,Port Harcourt town (NNPC filling station),4.777423,7.013404,11
Yobe state,"Yadi Buni town, Yobe state",11.26889,11.99694,11
Taraba state,Salon Gida Ward and Nanguru in Gassol Local Government,8.47269,10.5442,11
Taraba state,on their farms; in the Gassol Local Government Area of Taraba State; at the boundary between Gassol and Wukari local government areas,8.47269,10.5442,10
Taraba state,"Panwen, Bali LGA",8.15541,10.96853,10
Taraba state,"Saladuna village, near the town of Karim-Lamido",9.3,11.2,10
Taraba state,"Sabon Gida Shagogo, Donga LGA",7.59094,10.2133,10
Yobe state,"Wagir village, Gujba lga",11.34973,11.80804,10
Yobe state,"in Geidam, Yobe",12.897,11.9304,10
Yobe state,Potiskum LGA,11.71064,11.15721,10
Yobe state,"Kukuwa-Gari village, Gujba LGA, Yobe state",11.38333,11.96667,10
Yobe state,"Kikuwa-Gari village, Karasuwa LGA",12.96284,10.78345,10
Rivers state,Ibaa in Emohua LGA,4.96768,6.81565,10
Plateau state,"Tahoss Sopp, Angwa Werem, Danjol and Gwom village, Riyom LGA",9.56796,8.68476,10
Taraba state,"Donadda, Lavoro, Katibu, Didango and Maku communities, Lau LGA",9.18704,11.42011,10
Taraba state,"Barimini, Bali LGA",8.15541,10.96853,10
Taraba state,"Bashir, Bali LGA",8.15541,10.96853,10
Taraba state,"Gashaka, Bali LGA",8.15541,10.96853,10
Taraba state,"in Bornon Kurkur community, Bali Local Government Area",8.15541,10.96853,10
Nasarawa state,Nassarawa State,8.5,8.25,10
Ondo state,Akure town,7.25256,5.19312,10
Ogun state,Ijebu-Ode in Ogun State,6.82292,3.89387,10
Ogun state,"Ijebu-Ode, Ogun state",6.816093,3.915877,10
Plateau state,Plateau State (Talchon village),9.166667,9.75,10
Plateau state,"Nghakudung, Shilim, Morok, Mandung, Faram, Filla, Hotom, Dai, Kungul, Hurum, Dahua, Malul, Warrem, Josho and Ganda",9.22692,8.92677,10
Plateau state,Riyom town,9.637344,8.760619,10
Plateau state,"Shurun Village, Mangu LGA",9.39052,9.17968,10
Plateau state,"Rim village, Riyom LGA",9.549489,8.749844,10
Plateau state,Jos,9.916667,8.9,10
Plateau state,Kadarko area,8.910664,10.020653,10
Plateau state,"Kogom village, Vwang district, Jos South LGA",9.727682,8.758259,10
Plateau state,Langtang South LGA (Timshat village),8.60247,9.81029,10
Plateau state,Miango area,9.85,8.683333,10
Plateau state,"Barkin Ladi LGA (Sagas village, Fan district)",9.54969,8.9344,10
Plateau state,Bisichi village,9.71667,8.91667,10
Kaduna state,"in Anguwan Aku village, Kajuru Local government area of Kaduna state  ///  in Banono and Anguwan Aku in Kajuru Local government area of the state",10.253312,7.694211,10
Kaduna state,"Gora Gan village in Kaduna state  ///  Gora, Zangon Kataf LGA",9.78333,8.28333,10
Kaduna state,"Adu Village, Zangan district, Kaura LGA",9.61232,8.46992,10
Imo state,in Imo State,5.5,7.166667,10
Kano state,Kano town (Kofar Nassarawa area),11.994354,8.513807,10
Kaduna state,"Tattaura Village (Ancha District of Ninzo Chiefdom, two kilometres east of Gwantu, the headquarters of Sanga Local Government Area)",9.21667,8.46667,10
Gombe state,Bamba village,9.7,11.5,10
Gombe state,Nafada village,11.09596,11.33261,10
Imo state,Afor Enyiogugu junction in Aboh-Mbaise Local Government Area,5.468805,7.197301,10
Delta state,"Yukugbene situated on the banks of the Benin River, Warri North LGA, Delta State",5.88243,5.27687,10
Borno state,Wala village,11.17255,13.76114,10
Delta state,Okwagbe village,5.36176,5.791827,10
Borno state,Tumbarka are,11.5,13,10
Borno state,Uba town (about 35 Kilometres from Mubi),10.45509,13.22233,10
Borno state,Shaffa town,10.50673,12.33315,10
Borno state,Shawa village (some seven kilometres (4.3 miles) from Chibok),10.86583,12.84702,10
Borno state,Rann; the headquarters of Kala Balge Local Government Area of Borno State,12.28295,14.47243,10
Borno state,"Sabon Gari Manjakwa villages, Hawul LGA",10.4331,12.24682,10
Borno state,Rigaga village,11.52059,14.09661,10
Borno state,"Munguno, Borno state",12.67863,13.60792,10
Borno state,"MUSKA Village, GAMBORU NGALA LGA",12.21532,14.18319,10
Borno state,Molai (near),11.755521,13.106469,10
Borno state,"Mararraba, Angwan Fada, Dale, Wizha, Bokko Timit, Bokko Nasanu, Bokko Hide, up to Ngoshe village",11.103593,13.712983,10
Borno state,"MAZA Village (near), MARTE LGA",12.36532,13.8293,10
Borno state,"Nigeria?? military formation in Metele, near Kangarwa in Borno",13.357646,13.426181,10
Borno state,near the fishing town of Baga on the Lake Chad area  ///  on a road between Mile Four and Cross Kauwa  ///  Garin Giwa village in Kukawa local government area of Borno State,13.002521,13.7255,10
Benue state,"Ega, Adapti Island",7.9061,7.85487,10
Benue state,Gwer West Local Government area of Benue state,7.63211,8.21656,10
Benue state,"Jukun Settlement, Makurdi/Gboko road",7.7042,8.53588,10
Benue state,Mbasenge community of Mbagwen,7.96667,8.76667,10
Benue state,"Tse Akombo, Tse Vii and Tse Agule communities in Logo local government area",7.68922,9.25049,10
Bayelsa state,"Odi village (Mbiama junction, near)",5.17381,6.29974,10
Bayelsa state,Oporoma town,4.804722,6.078889,10
Bauchi state,Lame forest,10.571603,9.279305,10
Bauchi state,"Balmo forest (linking Borno, Bauchi and Adamawa states)",11.16762,10.65399,10
Benue state,"Adayohor village (Tse-Adayol) along Uver-Gov Sevav Road, Gaambe-Tiev, Logo LGA",7.68922,9.25049,10
Benue state,at Tse-Ujoh,7.2896,9.5533,10
Adamawa state,"in Kinere, Simba and Shure villages, in the Song Local Government Area of Adamawa State",9.82444,12.625,10
Adamawa state,"Lawaru, Dong (Demsa) and Kiken (Numan)  Lawaru, Dong, Kodomti, Shafaron and Nzuruwei",9.43937,11.90516,10
Adamawa state,"Lawaru, Dong (Demsa) and Kiken (Numan)  Lawaru, Dong, Kodomti, Shafaron and Nzuruwei",9.4553,11.93015,10
Adamawa state,"Lawaru, Dong (Demsa) and Kiken (Numan)  Lawaru, Dong, Kodomti, Shafaron and Nzuruwei",9.46001,11.91665,10
Adamawa state,"Kwamda-Kobla village (5 km from Gulak town), Madgali LGA / Pambula-Kwamda village",10.79942,13.4622,10
Adamawa state,Dagu village,10.38912,12.9792,10
Adamawa state,"Dang village, Hong LGA",10.31016,12.92473,10
Abia state,"Aba, Abia State",5.106576,7.366667,10
Akwa Ibom state,Ward 8 Etim Ekpo LGA,4.978001,7.59247,10
Anambra state,Ihiala town,5.85377,6.86026,10
Anambra state,Nnewi town,6.01986,6.91478,10
Adamawa state,"Yola town (Malkohi IDP camp, just outside)",9.2,12.48333,10
Adamawa state,Yazza village,10.29498,13.25788,10
Adamawa state,"Madagali, at the entrance of the town from the direction of Gwoza,  Madagali Local Government Area of Adamawa State",10.88942,13.62832,10
Adamawa state,"Lawaru, Dong (Demsa) and Kiken (Numan)  Lawaru, Dong, Kodomti, Shafaron and Nzuruwei",9.40233,11.91573,10
Adamawa state,Maiha town,9.99668,13.21673,10
Borno state,"Alafia, Rogo Fulani, Laraga camps in Sambisa forest",11.25,13.416667,10
Borno state,along the Maiduguri-Damboa Highway,11.439891,12.945559,10
Benue state,"Tse Uosu, Gbudu and Branch Umenge, Mbadwem district, Guma lga",7.96667,8.76667,10
Benue state,"Tse-Iyortyer/Tse Iortyer, Yelwata in Guma Local Government Area of Benue State",8.160068,8.591141,10
Benue state,Udei town about 25 kilometres north of Makurdi,8.06667,8.51667,10
Benue state,Yogbo village,7.9974,8.4467,10
Borno state,"Benisheik town (near), Borno state",11.8072,12.4909,10
Borno state,"at Ngawo Fate, near Alau Dam General, about 14 kilometer from Maiduguri",11.728022,13.23177,10
Borno state,at Ngelkona in Ngala Local Government area of Borno State  ///  along Wulgo-Ngelkona axis of Borno State,12.21532,14.18319,10
Borno state,at Doron Naira and Daban Magaji,13.09466,13.82343,10
Borno state,Maiduguri town (near),11.84644,13.160274,10
Borno state,Maiduguri town (Sager area),11.84644,13.160274,10
Borno state,Maiduguri town (Sajeri area),11.84644,13.160274,10
Borno state,Maiduguri town (Gombari ward),11.84644,13.160274,10
Borno state,"MALAWAJI, MAKAUDARI, DAIMA, BUDULI, SADIGUMO, JIWE Villages",12.04639,14.48093,10
Borno state,"Mairi Mmumbe village, near Dalori District of Konduga Local Government Area of Borno State",11.58605,13.00278,10
Borno state,Maiduguri- Beneshiekh road,11.851284,12.858597,10
Borno state,Madari village,12.84661,13.66632,10
Borno state,into Rumirgo village in the Askira Uba district,10.60371,13.03029,10
Borno state,"in the vicinity of SONDO LAWAN Village, NGANZAI LGA, BORNO State near MONGUNO  Monguno-Gajiram road",12.49303,13.20914,10
Borno state,"JILLAM and BULA BUTUBE in the vicinity of), around CHUKUN GUDU GWOZA LGA",11.103593,13.712983,10
Borno state,"IZGHE GWOZA, GWOZA LGA",10.983528,13.350111,10
Borno state,"Jakana, Konduga LGA",11.84276,12.77548,10
Borno state,KUMSHE- BANKI Road,11.309954,14.187145,10
Borno state,"Kukawa, part of Borno",12.96309,13.60899,10
Borno state,Kamtahi village,11.89912,13.29155,10
Borno state,in northeastern Nigeria,11.5,13,10
Borno state,"in Borgozo, Kaga Local Government Area of Borno State",11.643628,12.601413,10
Borno state,"Gubumbali, Borno state",12.94284,13.17831,10
Borno state,"Gwoza town (close to Cameroon), Borno state",11.103593,13.712982,10
Borno state,"Dorno Baga village, Kukawa LGA",13.12111,13.86032,10
Borno state,Damboa-Maiduguri road,11.439891,12.945559,10
Borno state,Galtimari village,11.89912,13.29155,10
Borno state,"Gajiganna, Magumeri LGA",12.252155,13.105596,10
Borno state,"Gajiram, some 80 kilometres (50 miles) north of the Borno state capital, Maiduguri",12.49303,13.20914,9
Borno state,"DASA (3km away from Monguno), MONGUNO LGA",12.67863,13.60792,9
Borno state,"Bulaburin/Bularin, near Maiduguri, Konduga",11.84644,13.160274,9
Borno state,"Bulabulin, GWOZA LGA",11.21673,13.45574,9
Borno state,Huyim village,10.76891,13.14579,9
Borno state,Gwoza,11.103593,13.712982,9
Borno state,Gwoza,11.103593,13.712983,9
Borno state,Gudumbali (around) in Guzamala local government area.,12.94284,13.17831,9
Borno state,in an ambush along Chibok - Damboa axis of Borno state,10.987943,12.787677,9
Borno state,in Kamuya in Borno,11.0319,12.0597,9
Borno state,"IZGHE DAMBOA, DAMBOA LGA",10.986887,13.298934,9
Borno state,"into the northeastern city of Maiduguri; Jiddari Polo, an area on the outskirts of the capital of Borno state  ///  an outskirt of Maiduguri, Borno State",11.84644,13.160274,9
Borno state,"Madamari, Magumeri LGA, on the Gubio-Maiduguri road",12.26501,12.7859,9
Borno state,"Mainari village, Mafa LGA",11.98456,13.66256,9
Borno state,"Mailari village, Konduga LGA",11.603451,13.488365,9
Borno state,Maiduguru town (Bulabuli Ngarnam),11.84644,13.160274,9
Borno state,"Malari general area in Dala, Malari is South West of the metropolis and about 7km drive into the city capital, Maiduguri, Borno state",11.795328,13.073528,9
Borno state,Mammanti village (outside),11.750894,13.122414,9
Borno state,Maiduguri town (Jajeri suburb),11.84644,13.160274,9
Borno state,"Maiduguri-Damboa-Biu Road, Damboa LGA",11.051161,12.649864,9
Borno state,"at Kusuma, Sigir in Ngala and Arijallamari in Abadam Local Government Areas",13.452662,13.490481,9
Borno state,"at Kusuma, Sigir in Ngala and Arijallamari in Abadam Local Government Areas",12.20577,14.18935,9
Borno state,at Kirta Wulgo and Sabon Tumbun; in the Island settlements of the Lake Chad in the Northern part of Borno State,12.75148,13.973782,9
Borno state,at Kirta Wulgo and Sabon Tumbun; in the Island settlements of the Lake Chad in the Northern part of Borno State,12.79305,14.12087,9
Borno state,"at Moranti village behind 333 Artillery Barracks in Maiduguri, Konduga local government area",11.84644,13.160274,9
Borno state,Baga town (near),13.09466,13.82343,9
Borno state,Attangara (in the Gwoza hills),11.10785,13.81294,9
Borno state,"beside a reservoir in Maichulmuri village, just outside Borno state capital Maiduguri",11.84644,13.160274,9
Borno state,"Bego village, along Damboa-Bale-Gwoza road",11.20281,13.011614,9
Borno state,"BARKARI, BAMA? LGA",11.7078,14.10919,9
Borno state,"Banki, Borno state",11.255863,14.152438,9
Borno state,between Auno- Garin Kuturu in Kaga local government area  ///  between Jakana and Auno,11.851818,12.851909,9
Benue state,"Waya, Moon district of Kwande Local Government Area of Benue State  Waya community in Jato-Aka, Kwande Local Government Area",6.87456,9.60949,9
Benue state,Tse Zongu settlement in Mbagwen Ward,7.89098,8.76118,9
Borno state,a military base in Gudumbali,12.94284,13.17831,9
Borno state,a checkpoint between the towns of Damasak and Gudumbali /// the terrorists surprised troops with an ambush as they were heading to Gudumbali,13.044837,12.852429,9
Borno state,a military barracks in the town of Gubio,12.499,12.7848,9
Borno state,"AJIRI Village (near), DAMBOA LGA",11.045854,12.646037,9
Borno state,Alafa on the fringes of the Sambisa Forest,11.3838,13.60416,9
Adamawa state,"Madube village, Adamawa state",9.333333,12.5,9
Adamawa state,"the four villages of Bolki, Bang, Zumoso and Gon, in Numan and Lamurde Local Government Areas of Adamawa State",9.45371,11.836653,9
Adamawa state,Shuwa village,9.333333,12.5,9
Adamawa state,Adamawa state,9.333333,12.5,9
Adamawa state,Bitiku village,10.79942,13.4622,9
Adamawa state,Garkida,10.41452,12.56634,9
Adamawa state,Kwambula village,10.77021,13.39051,9
Adamawa state,Kirchan village,9.333333,12.5,9
Adamawa state,Izeh village (near),10.85219,13.54889,9
Adamawa state,"Gombi township, Adamawa state",10.18948,12.52765,9
Benue state,Adagbo,7.87311,8.04485,9
Benue state,"Okpagabi and Ibadan, Agatu LGA",7.9061,7.85487,9
Benue state,Kwande LGA,6.80099,9.47021,9
Benue state,"communities in Guma LGA  1) in the outskirts of Gbajimba town, the Guma LGA 2) Gbajimba 3) Ulever community",7.96667,8.76667,9
Borno state,"near the village of Mayanti, near the border with Cameroon",11.374388,13.876097,9
Borno state,near Malam Fatori  ///  on the road from Mallum Fatori to Bosso,13.6734,13.3388,9
Borno state,"near NGALA Town along the MAIDUGURI- NGALA Road between MUSENE and LOGOMANI, NGALA LGA, BORNO State",12.26189,14.07576,9
Borno state,"near Jakana, 30 kilometres (18 miles) from the state capital Maiduguri",11.84276,12.77548,9
Borno state,Nguragida village,10.83642,12.7705,9
Borno state,Marte LGA,12.36532,13.8293,9
Borno state,Muna Dalti,11.869642,13.253906,9
Borno state,"Ruwa Forest, Borno state",11.09826,12.76417,9
Borno state,Rann (near)  Daima village between Rann and Tilam,12.28295,14.47243,9
Borno state,"Sambisa Forests, along Rimanti-Allagarno road in Damboa Local Government, Borno state",11.09826,12.76417,9
Borno state,"Sambisa Game Reserve, Borno state",11.25,13.416667,9
Borno state,"Sabon Gari town, Damboa LGA",10.810416,12.45449,9
Borno state,"outside Tungushe, a village 22 kilometres (13 miles) from the Borno State capital Maiduguri  between Tungushe and Gajigana",12.042099,13.068708,9
Borno state,Shindiffu village,10.49912,12.35722,9
Borno state,the camp in the town of Rann in Borno State,12.28295,14.47243,9
Borno state,"Ugundiri village, Damboa Local Government Area",11.09826,12.76417,9
Borno state,the Headquarters of the 7 Brigade Multinational Joint Task Force (MNJTF) at Baga in Borno state,13.09466,13.82343,9
Delta state,"Ologbobubor situated on the banks of the Benin River, Warri North LGA",5.88243,5.27687,9
Borno state,"Wulwuta village, ahead of Jere, Bama LGA",11.4266,13.98666,9
Borno state,"Wunbi (around), Kala Balge Local Government Area",12.36166,14.35716,9
Borno state,Yinagu village,11.103593,13.712983,9
Gongola state,Gongola state (Ubang village),8.5,11.5,9
Kaduna state,"Tudu village of Agwala Dutse general area in Kajuru Local Government Area, Kaduna State  ///  Agwala in Tudun Wadan Doka District of Kajuru Local Government Area of Kaduna State.",10.27704,7.85784,9
Kaduna state,Tudun Wada town (around the Falgore Forest),11.24338,8.40385,9
Kano state,Kano,11.994354,8.513807,9
Kaduna state,Kaduna state,10.333333,7.75,9
Kaduna state,"Ma-Dooh community, Atyap Chiefdom in Zangon Kataf Local Government Area  ///  Ungwan Dooh (Mado) area",9.841,8.25491,9
Plateau state,Foron district of Barkin Ladi local government area,9.54969,8.9344,9
Plateau state,"Hura village, Kwall District of Bassa Local Government Area  Hura community, Maiyanga in Kwall district",9.76017,8.66792,9
Plateau state,"Barkin Ladi LGA (Tul village), Plateau state",9.54969,8.9344,9
Plateau state,Barkin ladi town,9.53333,8.9,9
Plateau state,Mangu LGA (Fogawa village),9.39052,9.17968,9
Plateau state,"Kogot village, Fan district",9.66667,8.95,9
Plateau state,"Kawo village, seven kilometers from Yelwa village",8.833333,9.633333,9
Plateau state,Kurmi area,8.683333,10.083333,9
Plateau state,Jos town (Dilimi),9.916667,8.9,9
Niger state,Kontagora town,10.399893,5.469491,9
Nasarawa state,Awe village (on the border area with Benue),8.1,9.13333,9
Plateau state,"Wadata areas, Wase LGA",9.08261,10.20519,9
Plateau state,"Yamini village, about 30 km from Yelwa.",8.51667,9.66667,9
Rivers state,Gbe village,4.63404,7.28717,9
Rivers state,"Oduoha community, Emohua Local Government Area",4.92031,6.83548,9
Yobe state,Tadagara village,11.10842,11.51935,9
Taraba state,Nwokyo village (a suburb of Wukari),7.85,9.783333,9
