conflict_name,date_start,date_end,conflict_duration_days,type_of_violence,total_fatalities
Agatu - Fulani,2/10/2015,2/10/2015,0,2,0
"Birom - Fulani, Hausa",1/19/2010,1/19/2010,0,2,62
"Birom - Fulani, Hausa",1/19/2010,1/19/2010,0,2,56
"Birom - Fulani, Hausa",1/19/2010,1/19/2010,0,2,0
NURTW-Auxiliary - NURTW-Tokyo,5/30/2011,5/30/2011,0,2,2
NURTW-Auxiliary - NURTW-Tokyo,6/4/2011,6/4/2011,0,2,25
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/25/2013,7/25/2013,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/26/2013,7/26/2013,0,2,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,8/25/2013,8/25/2013,0,2,18
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,8/25/2013,8/25/2013,0,2,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,8/31/2013,8/31/2013,0,2,24
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,9/8/2013,9/8/2013,0,2,18
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,9/14/2013,9/14/2013,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,9/14/2013,9/14/2013,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,9/15/2013,9/15/2013,0,2,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,10/21/2013,10/21/2013,0,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,11/5/2013,11/5/2013,0,2,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,12/2/2013,12/2/2013,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1/14/2014,1/14/2014,0,2,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/14/2014,5/14/2014,0,2,220
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,6/21/2014,6/21/2014,0,2,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/4/2014,7/4/2014,0,2,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/6/2014,7/6/2014,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/14/2014,7/14/2014,0,2,20
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/23/2014,7/23/2014,0,2,0
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/23/2014,7/23/2014,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,8/18/2014,8/18/2014,0,2,30
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,11/12/2014,11/12/2014,0,2,75
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,11/27/2014,11/27/2014,0,2,15
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,11/27/2014,11/27/2014,0,2,15
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1/19/2015,1/19/2015,0,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,2/17/2015,2/17/2015,0,2,36
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1/8/2017,1/8/2017,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1/8/2017,1/8/2017,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1/8/2017,1/8/2017,0,2,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,1/25/2017,1/25/2017,0,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,3/18/2017,3/18/2017,0,2,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,4/24/2017,4/24/2017,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,4/24/2017,4/24/2017,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,4/26/2017,4/26/2017,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/12/2017,5/12/2017,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/20/2017,5/20/2017,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/20/2017,5/20/2017,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,6/7/2017,6/7/2017,0,2,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,6/11/2017,6/11/2017,0,2,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,6/18/2017,6/18/2017,0,2,12
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/11/2017,7/11/2017,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/11/2017,7/11/2017,0,2,8
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/11/2017,7/11/2017,0,2,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/11/2017,7/11/2017,0,2,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/23/2017,7/23/2017,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/26/2017,7/26/2017,0,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,7/28/2017,7/28/2017,0,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,9/8/2017,9/8/2017,0,2,6
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,10/12/2017,10/12/2017,0,2,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,3/5/2018,3/5/2018,0,2,3
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,4/26/2018,4/26/2018,0,2,5
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/15/2018,5/15/2018,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/15/2018,5/15/2018,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,6/11/2018,6/11/2018,0,2,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,8/23/2018,8/23/2018,0,2,1
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,2/16/2019,2/16/2019,0,2,2
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/27/2019,5/27/2019,0,2,7
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,5/18/2020,5/18/2020,0,2,4
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,11/25/2021,11/25/2021,0,2,3
Atakar - Fulani,3/19/2013,3/19/2013,0,2,1
Atakar - Fulani,3/20/2013,3/20/2013,0,2,1
Atakar - Fulani,3/20/2013,3/20/2013,0,2,11
Atakar - Fulani,3/21/2013,3/21/2013,0,2,12
Black Axe - Eyie,6/6/2021,6/6/2021,0,2,1
Black Axe - Eyie,7/17/2021,7/17/2021,0,2,1
Black Axe - Eyie,3/16/2021,3/16/2021,0,2,2
Black Axe - Eyie,3/28/2021,3/28/2021,0,2,2
Black Axe - Eyie,3/28/2021,3/28/2021,0,2,1
Black Axe - Eyie,11/11/2020,11/11/2020,0,2,2
Black Axe - Eyie,11/11/2020,11/11/2020,0,2,1
Black Axe - Eyie,11/12/2020,11/12/2020,0,2,2
Black Axe - Eyie,12/24/2020,12/24/2020,0,2,0
Black Axe - Eyie,1/2/2021,1/2/2021,0,2,1
Black Axe - Eyie,1/10/2021,1/10/2021,0,2,3
Black Axe - Eyie,1/11/2021,1/11/2021,0,2,2
Black Axe - Eyie,1/23/2021,1/23/2021,0,2,2
Black Axe - Maphite,10/2/2010,10/2/2010,0,2,0
Black Axe - Maphite,10/21/2010,10/21/2010,0,2,11
Black Axe - Maphite,8/10/2011,8/10/2011,0,2,1
Black Axe - Maphite,4/4/2014,4/4/2014,0,2,1
"Birom - Fulani, Hausa",12/30/2001,12/30/2001,0,2,21
"Birom - Fulani, Hausa",1/19/2010,1/19/2010,0,2,174
Black Axe - Maphite,11/29/2020,11/29/2020,0,2,1
Black Axe - Maphite,1/16/2016,1/16/2016,0,2,5
Black Axe - Eyie,9/20/2019,9/20/2019,0,2,3
Black Axe - Eyie,9/21/2019,9/21/2019,0,2,1
Black Axe - Eyie,1/21/2020,1/21/2020,0,2,2
Black Axe - Eyie,1/29/2020,1/29/2020,0,2,1
Black Axe - Eyie,2/20/2020,2/20/2020,0,2,10
Black Axe - Eyie,2/20/2020,2/20/2020,0,2,10
Black Axe - Eyie,2/23/2020,2/23/2020,0,2,3
Black Axe - Eyie,3/2/2020,3/2/2020,0,2,1
Black Axe - Eyie,4/12/2020,4/12/2020,0,2,1
Black Axe - Eyie,4/13/2020,4/13/2020,0,2,2
Black Axe - Eyie,4/14/2020,4/14/2020,0,2,1
Black Axe - Eyie,9/10/2020,9/10/2020,0,2,1
Black Axe - Eyie,7/27/2019,7/27/2019,0,2,1
Black Axe - Eyie,8/28/2019,8/28/2019,0,2,1
Black Axe - Eyie,6/6/2019,6/6/2019,0,2,1
Black Axe - Eyie,6/7/2019,6/7/2019,0,2,3
Black Axe - Eyie,6/8/2019,6/8/2019,0,2,1
Black Axe - Eyie,6/30/2019,6/30/2019,0,2,1
Black Axe - Eyie,7/21/2019,7/21/2019,0,2,2
Black Axe - Eyie,4/14/2019,4/14/2019,0,2,4
Black Axe - Eyie,3/11/2019,3/11/2019,0,2,3
Black Axe - Eyie,2/19/2019,2/19/2019,0,2,1
Black Axe - Eyie,4/23/2019,4/23/2019,0,2,6
Black Axe - Eyie,4/30/2019,4/30/2019,0,2,1
Black Axe - Eyie,5/5/2019,5/5/2019,0,2,2
Black Axe - Eyie,5/5/2019,5/5/2019,0,2,1
Black Axe - Eyie,5/5/2019,5/5/2019,0,2,1
Black Axe - Eyie,5/6/2019,5/6/2019,0,2,1
Black Axe - Eyie,5/6/2019,5/6/2019,0,2,5
Black Axe - Eyie,5/7/2019,5/7/2019,0,2,4
Black Axe - Eyie,5/7/2019,5/7/2019,0,2,1
Nigeria: Islamic State,2/24/2016,2/24/2016,0,1,94
Nigeria: Islamic State,2/24/2016,2/24/2016,0,1,28
Nigeria: Islamic State,2/27/2016,2/27/2016,0,1,37
Nigeria: Islamic State,1/15/2016,1/15/2016,0,1,1
Nigeria: Islamic State,1/15/2016,1/15/2016,0,1,17
Nigeria: Islamic State,1/17/2016,1/17/2016,0,1,1
Nigeria: Islamic State,2/15/2016,2/15/2016,0,1,2
Nigeria: Islamic State,2/16/2016,2/16/2016,0,1,2
Nigeria: Islamic State,2/16/2016,2/16/2016,0,1,3
Nigeria: Islamic State,2/16/2016,2/16/2016,0,1,2
Nigeria: Islamic State,2/16/2016,2/16/2016,0,1,3
Nigeria: Islamic State,1/20/2016,1/20/2016,0,1,3
Nigeria: Islamic State,1/20/2016,1/20/2016,0,1,3
Nigeria: Islamic State,1/22/2016,1/22/2016,0,1,2
Nigeria: Islamic State,1/22/2016,1/22/2016,0,1,2
Nigeria: Islamic State,1/24/2016,1/24/2016,0,1,14
Nigeria: Islamic State,1/24/2016,1/24/2016,0,1,3
Nigeria: Islamic State,1/24/2016,1/24/2016,0,1,1
Nigeria: Islamic State,1/27/2016,1/27/2016,0,1,1
Nigeria: Islamic State,1/30/2016,1/30/2016,0,1,5
Nigeria: Islamic State,2/1/2016,2/1/2016,0,1,28
Nigeria: Islamic State,2/1/2016,2/1/2016,0,1,28
Nigeria: Islamic State,2/9/2016,2/9/2016,0,1,5
Nigeria: Islamic State,2/9/2016,2/9/2016,0,1,1
Nigeria: Islamic State,2/9/2016,2/9/2016,0,1,25
Nigeria: Islamic State,2/10/2016,2/10/2016,0,1,2
Nigeria: Islamic State,11/14/2015,11/14/2015,0,1,7
Nigeria: Islamic State,11/16/2015,11/16/2015,0,1,26
Nigeria: Islamic State,11/18/2015,11/18/2015,0,1,26
Nigeria: Islamic State,11/18/2015,11/18/2015,0,1,3
Nigeria: Islamic State,11/19/2015,11/19/2015,0,1,144
Nigeria: Islamic State,11/27/2015,11/27/2015,0,1,1
Nigeria: Islamic State,11/29/2015,11/29/2015,0,1,21
Nigeria: Islamic State,11/4/2015,11/4/2015,0,1,1
Nigeria: Islamic State,11/4/2015,11/4/2015,0,1,1
Nigeria: Islamic State,11/7/2015,11/7/2015,0,1,10
Nigeria: Islamic State,10/2/2015,10/2/2015,0,1,20
Nigeria: Islamic State,10/7/2015,10/7/2015,0,1,108
Nigeria: Islamic State,10/7/2015,10/7/2015,0,1,6
Nigeria: Islamic State,10/7/2015,10/7/2015,0,1,3
Nigeria: Islamic State,10/13/2015,10/13/2015,0,1,3
Nigeria: Islamic State,10/13/2015,10/13/2015,0,1,0
Nigeria: Islamic State,12/9/2015,12/9/2015,0,1,3
Nigeria: Islamic State,12/10/2015,12/10/2015,0,1,5
Nigeria: Islamic State,12/10/2015,12/10/2015,0,1,2
Nigeria: Islamic State,11/13/2015,11/13/2015,0,1,7
Nigeria: Islamic State,11/13/2015,11/13/2015,0,1,4
Nigeria: Islamic State,12/15/2015,12/15/2015,0,1,1
Nigeria: Islamic State,12/15/2015,12/15/2015,0,1,2
Nigeria: Islamic State,12/20/2015,12/20/2015,0,1,3
Nigeria: Islamic State,12/20/2015,12/20/2015,0,1,9
Nigeria: Islamic State,12/25/2015,12/25/2015,0,1,3
Nigeria: Islamic State,12/27/2015,12/27/2015,0,1,10
Nigeria: Islamic State,1/8/2016,1/8/2016,0,1,2
Nigeria: Islamic State,7/27/2015,7/27/2015,0,1,11
Nigeria: Islamic State,7/29/2015,7/29/2015,0,1,20
Nigeria: Islamic State,7/29/2015,7/29/2015,0,1,20
Nigeria: Islamic State,8/2/2015,8/2/2015,0,1,50
Nigeria: Islamic State,8/4/2015,8/4/2015,0,1,13
Nigeria: Islamic State,8/18/2015,8/18/2015,0,1,24
Nigeria: Islamic State,8/21/2015,8/21/2015,0,1,2
Nigeria: Islamic State,8/21/2015,8/21/2015,0,1,3
Nigeria: Islamic State,8/22/2015,8/22/2015,0,1,11
Nigeria: Islamic State,8/25/2015,8/25/2015,0,1,3
Nigeria: Islamic State,9/1/2015,9/1/2015,0,1,40
Nigeria: Islamic State,6/7/2015,6/7/2015,0,1,0
Nigeria: Islamic State,6/14/2015,6/14/2015,0,1,42
Nigeria: Islamic State,6/27/2015,6/27/2015,0,1,4
Nigeria: Islamic State,6/28/2015,6/28/2015,0,1,8
Nigeria: Islamic State,7/7/2015,7/7/2015,0,1,5
Nigeria: Islamic State,7/10/2015,7/10/2015,0,1,3
Nigeria: Islamic State,7/10/2015,7/10/2015,0,1,1
Nigeria: Islamic State,7/10/2015,7/10/2015,0,1,9
Nigeria: Islamic State,7/11/2015,7/11/2015,0,1,3
Nigeria: Biafra,12/30/2021,12/30/2021,0,1,0
Cameroon: Islamic State,12/20/2015,12/20/2015,0,1,71
Nigeria: Islamic State,7/20/2015,7/20/2015,0,1,9
Nigeria: Islamic State,9/25/2015,9/25/2015,0,1,1
Nigeria: Islamic State,9/27/2015,9/27/2015,0,1,2
Nigeria: Islamic State,9/28/2015,9/28/2015,0,1,1
Nigeria: Islamic State,10/1/2015,10/1/2015,0,1,2
Nigeria: Islamic State,10/18/2015,10/18/2015,0,1,31
Nigeria: Islamic State,10/18/2015,10/18/2015,0,1,1
Nigeria: Islamic State,10/18/2015,10/18/2015,0,1,40
Nigeria: Islamic State,10/20/2015,10/20/2015,0,1,2
Nigeria: Islamic State,10/27/2015,10/27/2015,0,1,30
Nigeria: Islamic State,10/27/2015,10/27/2015,0,1,0
Nigeria: Islamic State,11/1/2015,11/1/2015,0,1,4
Nigeria: Islamic State,3/15/2015,3/15/2015,0,1,3
Nigeria: Islamic State,3/21/2015,3/21/2015,0,1,14
Nigeria: Islamic State,3/21/2015,3/21/2015,0,1,3
Nigeria: Islamic State,3/22/2015,3/22/2015,0,1,36
Nigeria: Islamic State,3/23/2015,3/23/2015,0,1,1
Nigeria: Islamic State,3/27/2015,3/27/2015,0,1,100
Nigeria: Islamic State,3/28/2015,3/28/2015,0,1,0
Nigeria: Islamic State,3/29/2015,3/29/2015,0,1,57
Nigeria: Islamic State,3/29/2015,3/29/2015,0,1,52
Nigeria: Islamic State,3/30/2015,3/30/2015,0,1,0
Nigeria: Islamic State,3/30/2015,3/30/2015,0,1,0
Nigeria: Islamic State,4/1/2015,4/1/2015,0,1,111
Nigeria: Islamic State,4/3/2015,4/3/2015,0,1,24
Nigeria: Islamic State,4/19/2015,4/19/2015,0,1,2
Nigeria: Islamic State,4/20/2015,4/20/2015,0,1,2
Nigeria: Islamic State,4/21/2015,4/21/2015,0,1,3
Nigeria: Islamic State,4/23/2015,4/23/2015,0,1,4
Nigeria: Islamic State,5/6/2015,5/6/2015,0,1,10
Nigeria: Islamic State,5/13/2015,5/13/2015,0,1,46
Nigeria: Islamic State,5/16/2015,5/16/2015,0,1,3
Nigeria: Islamic State,5/21/2015,5/21/2015,0,1,1
Nigeria: Islamic State,5/22/2015,5/22/2015,0,1,41
Nigeria: Islamic State,5/25/2015,5/25/2015,0,1,30
Nigeria: Islamic State,5/30/2015,5/30/2015,0,1,8
Nigeria: Islamic State,6/1/2015,6/1/2015,0,1,1
Nigeria: Islamic State,6/2/2015,6/2/2015,0,1,2
Nigeria: Islamic State,6/4/2015,6/4/2015,0,1,5
Nigeria: Islamic State,6/4/2015,6/4/2015,0,1,21
Nigeria: Islamic State,6/5/2015,6/5/2015,0,1,17
Nigeria: Islamic State,4/25/2015,4/25/2015,0,1,0
Nigeria: Islamic State,4/28/2015,4/28/2015,0,1,2
Nigeria: Islamic State,4/29/2015,4/29/2015,0,1,4
Nigeria: Islamic State,4/29/2015,4/29/2015,0,1,202
Nigeria: Biafra,8/13/2021,8/13/2021,0,1,5
Nigeria: Biafra,8/16/2021,8/16/2021,0,1,0
Nigeria: Biafra,9/11/2021,9/11/2021,0,1,3
Nigeria: Biafra,9/12/2021,9/12/2021,0,1,3
Eggon - Fulani,6/1/2016,6/1/2016,0,2,1
Eggon - Fulani,8/3/2020,8/3/2020,0,2,1
Kuteb - Tiv,4/9/2013,4/9/2013,0,2,6
Kuteb - Tiv,5/1/2015,5/1/2015,0,2,5
Kuteb - Tiv,5/3/2015,5/3/2015,0,2,30
Kuteb - Tiv,5/3/2015,5/3/2015,0,2,29
Eggon - Fulani,11/8/2014,11/8/2014,0,2,32
Eggon - Fulani,11/14/2014,11/14/2014,0,2,15
Eggon - Fulani,11/16/2014,11/16/2014,0,2,12
Eggon - Fulani,11/16/2014,11/16/2014,0,2,0
Eggon - Fulani,11/16/2014,11/16/2014,0,2,0
Eggon - Fulani,11/16/2014,11/16/2014,0,2,0
Eggon - Fulani,10/21/2014,10/21/2014,0,2,0
Fulani - Jukun,4/15/2014,4/15/2014,0,2,9
Fulani - Jukun,4/22/2014,4/22/2014,0,2,0
Eggon - Fulani,8/26/2014,8/26/2014,0,2,2
Eggon - Fulani,8/27/2014,8/27/2014,0,2,0
Eggon - Fulani,9/2/2014,9/2/2014,0,2,45
Eggon - Fulani,9/3/2014,9/3/2014,0,2,6
Eggon - Fulani,9/14/2014,9/14/2014,0,2,1
Eggon - Fulani,9/22/2014,9/22/2014,0,2,15
Agatu - Fulani,2/20/2019,2/20/2019,0,2,17
Eggon - Fulani,1/10/2013,1/10/2013,0,2,6
Eggon - Fulani,2/2/2013,2/2/2013,0,2,2
Eggon - Fulani,2/2/2013,2/2/2013,0,2,0
Eggon - Fulani,8/22/2013,8/22/2013,0,2,1
Eggon - Fulani,8/23/2014,8/23/2014,0,2,2
Eggon - Fulani,8/24/2014,8/24/2014,0,2,17
Eggon - Fulani,8/24/2014,8/24/2014,0,2,17
Atakar - Fulani,9/1/2013,9/1/2013,0,2,2
Atakar - Fulani,9/2/2013,9/2/2013,0,2,10
Atakar - Fulani,2/4/2014,2/4/2014,0,2,0
Atakar - Fulani,1/3/2015,1/3/2015,0,2,1
Atakar - Fulani,2/20/2017,2/20/2017,0,2,19
Atakar - Fulani,8/29/2019,8/29/2019,0,2,5
Atakar - Fulani,8/29/2019,8/29/2019,0,2,8
Atakar - Fulani,2/5/2020,2/5/2020,0,2,2
Hausa - Jukun,5/3/2013,5/3/2013,0,2,39
Agatu - Fulani,3/15/2015,3/15/2015,0,2,82
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,9/12/2014,9/12/2014,0,2,13
Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Yan Gora,10/18/2014,10/18/2014,0,2,7
Atakar - Fulani,3/29/2020,3/29/2020,0,2,1
Agatu - Fulani,11/15/2015,11/15/2015,0,2,81
Agatu - Fulani,12/29/2015,12/29/2015,0,2,1
Agatu - Fulani,1/3/2016,1/3/2016,0,2,2
Agatu - Fulani,1/14/2016,1/14/2016,0,2,30
Agatu - Fulani,2/1/2016,2/1/2016,0,2,10
Agatu - Fulani,2/11/2016,2/11/2016,0,2,2
Agatu - Fulani,2/11/2016,2/11/2016,0,2,2
Agatu - Fulani,2/11/2016,2/11/2016,0,2,2
Agatu - Fulani,3/10/2016,3/10/2016,0,2,3
Agatu - Fulani,1/23/2017,1/23/2017,0,2,15
Agatu - Fulani,3/25/2018,3/25/2018,0,2,2
Supporters of APC - Supporters of PDP,3/7/2015,3/7/2015,0,2,3
Supporters of APC - Supporters of PDP,3/24/2015,3/24/2015,0,2,2
Supporters of APC - Supporters of PDP,3/27/2015,3/27/2015,0,2,3
Supporters of APC - Supporters of PDP,3/28/2015,3/28/2015,0,2,1
Supporters of APC - Supporters of PDP,3/28/2015,3/28/2015,0,2,1
Supporters of APC - Supporters of PDP,4/14/2015,4/14/2015,0,2,8
Supporters of APC - Supporters of PDP,4/14/2015,4/14/2015,0,2,1
Supporters of APC - Supporters of PDP,4/14/2015,4/14/2015,0,2,6
Supporters of APC - Supporters of PDP,11/8/2015,11/8/2015,0,2,7
Supporters of APC - Supporters of PDP,1/10/2016,1/10/2016,0,2,6
Supporters of APC - Supporters of PDP,1/14/2016,1/14/2016,0,2,3
Supporters of APC - Supporters of PDP,3/7/2016,3/7/2016,0,2,1
Supporters of APC - Supporters of PDP,3/9/2016,3/9/2016,0,2,1
Fulani - Jukun,5/7/2019,5/7/2019,0,2,5
Fulani - Jukun,5/7/2019,5/7/2019,0,2,6
Fulani - Jukun,6/16/2019,6/16/2019,0,2,1
Supporters of APC - Supporters of PDP,6/20/2014,6/20/2014,0,2,5
Supporters of APC - Supporters of PDP,7/27/2014,7/27/2014,0,2,2
Supporters of APC - Supporters of PDP,1/21/2015,1/21/2015,0,2,1
Supporters of APC - Supporters of PDP,2/23/2015,2/23/2015,0,2,4
Nigeria: Biafra,9/19/2021,9/19/2021,0,1,0
Nigeria: Biafra,10/21/2021,10/21/2021,0,1,3
Nigeria: Biafra,10/24/2021,10/24/2021,0,1,4
Nigeria: Biafra,10/29/2021,10/29/2021,0,1,5
Nigeria: Biafra,10/29/2021,10/29/2021,0,1,2
Nigeria: Biafra,11/22/2021,11/22/2021,0,1,1
Nigeria: Biafra,11/23/2021,11/23/2021,0,1,0
Supporters of APC - Supporters of PDP,9/13/2017,9/13/2017,0,2,4
Supporters of APC - Supporters of PDP,12/16/2017,12/16/2017,0,2,0
Supporters of APC - Supporters of PDP,2/2/2019,2/2/2019,0,2,1
Supporters of APC - Supporters of PDP,2/10/2019,2/10/2019,0,2,5
Supporters of APC - Supporters of PDP,2/16/2019,2/16/2019,0,2,5
Fulani - Jukun,9/14/2014,9/14/2014,0,2,21
Fulani - Jukun,10/19/2014,10/19/2014,0,2,27
Fulani - Jukun,10/19/2014,10/19/2014,0,2,4
Fulani - Jukun,10/19/2014,10/19/2014,0,2,3
Fulani - Jukun,1/26/2015,1/26/2015,0,2,27
Fulani - Jukun,6/17/2015,6/17/2015,0,2,0
Supporters of APC - Supporters of PDP,2/22/2019,2/22/2019,0,2,2
Supporters of APC - Supporters of PDP,2/22/2019,2/22/2019,0,2,2
Supporters of APC - Supporters of PDP,3/9/2019,3/9/2019,0,2,6
Supporters of APC - Supporters of PDP,3/9/2019,3/9/2019,0,2,2
Supporters of APC - Supporters of PDP,3/9/2019,3/9/2019,0,2,4
Supporters of APC - Supporters of PDP,10/19/2019,10/19/2019,0,2,0
Supporters of APC - Supporters of PDP,11/13/2019,11/13/2019,0,2,0
Supporters of APC - Supporters of PDP,11/18/2019,11/18/2019,0,2,1
Supporters of APC - Supporters of PDP,2/3/2020,2/3/2020,0,2,1
Supporters of APC - Supporters of PDP,11/30/2020,11/30/2020,0,2,2
Eggon - Gwandere,4/26/2014,4/26/2014,0,2,50
Eggon - Gwandere,7/17/2014,7/17/2014,0,2,3
Eggon - Gwandere,8/19/2014,8/19/2014,0,2,4
Nigeria: Biafra,2/21/2021,2/21/2021,0,1,2
Nigeria: Biafra,3/24/2021,3/24/2021,0,1,0
Nigeria: Biafra,3/30/2021,3/30/2021,0,1,3
Nigeria: Biafra,4/5/2021,4/5/2021,0,1,3
Nigeria: Biafra,4/6/2021,4/6/2021,0,1,3
Nigeria: Biafra,4/24/2021,4/24/2021,0,1,11
Nigeria: Biafra,4/24/2021,4/24/2021,0,1,4
Nigeria: Biafra,4/25/2021,4/25/2021,0,1,4
Nigeria: Biafra,5/1/2021,5/1/2021,0,1,2
Nigeria: Biafra,5/6/2021,5/6/2021,0,1,0
Nigeria: Biafra,5/6/2021,5/6/2021,0,1,0
Nigeria: Biafra,5/6/2021,5/6/2021,0,1,12
Nigeria: Biafra,5/8/2021,5/8/2021,0,1,6
Nigeria: Biafra,5/9/2021,5/9/2021,0,1,2
Nigeria: Biafra,5/12/2021,5/12/2021,0,1,0
Nigeria: Biafra,5/16/2021,5/16/2021,0,1,0
Nigeria: Biafra,5/17/2021,5/17/2021,0,1,0
Nigeria: Biafra,5/23/2021,5/23/2021,0,1,2
Nigeria: Biafra,5/26/2021,5/26/2021,0,1,2
Nigeria: Biafra,5/28/2021,5/28/2021,0,1,7
Nigeria: Biafra,5/28/2021,5/28/2021,0,1,0
Nigeria: Biafra,5/30/2021,5/30/2021,0,1,1
Nigeria: Biafra,5/30/2021,5/30/2021,0,1,10
Nigeria: Biafra,7/13/2021,7/13/2021,0,1,2
Nigeria: Biafra,7/28/2021,7/28/2021,0,1,0
Nigeria: Biafra,7/31/2021,7/31/2021,0,1,0
Nigeria: Biafra,8/9/2021,8/9/2021,0,1,6
Nigeria: Biafra,8/9/2021,8/9/2021,0,1,0
Nigeria: Islamic State,3/29/2016,3/29/2016,0,1,35
Nigeria: Islamic State,3/29/2016,3/29/2016,0,1,1
Nigeria: Islamic State,3/29/2016,3/29/2016,0,1,5
Nigeria: Islamic State,3/29/2016,3/29/2016,0,1,3
Nigeria: Islamic State,3/29/2016,3/29/2016,0,1,5
Nigeria: Islamic State,3/29/2016,3/29/2016,0,1,5
Nigeria: Islamic State,3/31/2016,3/31/2016,0,1,9
Nigeria: Islamic State,4/1/2016,4/1/2016,0,1,1
Nigeria: Islamic State,4/2/2016,4/2/2016,0,1,7
Nigeria: Islamic State,4/3/2016,4/3/2016,0,1,15
Nigeria: Islamic State,4/8/2016,4/8/2016,0,1,2
